x		y
1		1
0.994048	1
0.988095	1
0.982143	1
0.97619		1
0.964286	1
0.958333	1
0.952381	1
0.946429	1
0.940476	1
0.934524	1
0.928571	1
0.916667	1
0.910714	1
0.904762	1
0.89881		1
0.892857	1
0.886905	1
0.869048	1
0.863095	1
0.85119		1
0.845238	1
0.839286	1
0.833333	1
0.827381	1
0.821429	1
0.815476	1
0.803571	1
0.797619	1
0.791667	1
0.785714	1
0.77381		1
0.767857	1
0.761905	1
0.755952	1
0.75		1
0.738095	1
0.732143	1
0.72619		1
0.72619		0.996255
0.720238	0.996255
0.714286	0.996255
0.708333	0.996255
0.702381	0.996255
0.696429	0.996255
0.684524	0.996255
0.678571	0.996255
0.672619	0.996255
0.666667	0.996255
0.654762	0.996255
0.64881		0.996255
0.642857	0.996255
0.636905	0.996255
0.630952	0.996255
0.625		0.996255
0.619048	0.996255
0.613095	0.996255
0.607143	0.996255
0.60119		0.996255
0.595238	0.996255
0.589286	0.996255
0.583333	0.996255
0.565476	0.996255
0.559524	0.996255
0.553571	0.996255
0.547619	0.996255
0.541667	0.996255
0.535714	0.996255
0.529762	0.996255
0.52381		0.996255
0.517857	0.996255
0.511905	0.996255
0.505952	0.996255
0.5		0.996255
0.494048	0.996255
0.488095	0.996255
0.482143	0.996255
0.47619		0.996255
0.470238	0.996255
0.464286	0.996255
0.458333	0.996255
0.452381	0.996255
0.446429	0.996255
0.440476	0.996255
0.434524	0.996255
0.434524	0.992509
0.428571	0.992509
0.422619	0.992509
0.416667	0.992509
0.410714	0.992509
0.404762	0.992509
0.39881		0.992509
0.392857	0.992509
0.386905	0.992509
0.380952	0.992509
0.375		0.992509
0.369048	0.992509
0.363095	0.992509
0.357143	0.992509
0.35119		0.992509
0.345238	0.992509
0.339286	0.992509
0.339286	0.988764
0.333333	0.988764
0.327381	0.988764
0.321429	0.988764
0.315476	0.988764
0.309524	0.988764
0.303571	0.988764
0.297619	0.988764
0.291667	0.988764
0.291667	0.985019
0.285714	0.985019
0.279762	0.985019
0.27381		0.985019
0.267857	0.985019
0.261905	0.985019
0.255952	0.985019
0.25		0.985019
0.244048	0.985019
0.238095	0.985019
0.232143	0.985019
0.22619		0.985019
0.22619		0.981273
0.220238	0.981273
0.220238	0.977528
0.220238	0.973783
0.220238	0.970037
0.220238	0.966292
0.214286	0.966292
0.214286	0.962547
0.208333	0.962547
0.208333	0.958801
0.202381	0.958801
0.202381	0.955056
0.196429	0.955056
0.190476	0.955056
0.184524	0.955056
0.184524	0.951311
0.178571	0.951311
0.178571	0.947566
0.178571	0.94382
0.178571	0.940075
0.172619	0.940075
0.166667	0.940075
0.166667	0.93633
0.160714	0.93633
0.160714	0.932584
0.154762	0.932584
0.14881		0.932584
0.142857	0.932584
0.142857	0.928839
0.136905	0.928839
0.136905	0.925094
0.136905	0.921348
0.136905	0.917603
0.130952	0.917603
0.130952	0.913858
0.130952	0.910112
0.130952	0.906367
0.125		0.906367
0.119048	0.906367
0.119048	0.902622
0.113095	0.902622
0.113095	0.898876
0.113095	0.895131
0.107143	0.895131
0.107143	0.891386
0.10119		0.891386
0.095238	0.891386
0.089286	0.891386
0.083333	0.891386
0.083333	0.88764
0.077381	0.88764
0.071429	0.88764
0.065476	0.88764
0.059524	0.88764
0.053571	0.88764
0.047619	0.88764
0.047619	0.883895
0.047619	0.88015
0.047619	0.876404
0.047619	0.872659
0.047619	0.868914
0.041667	0.868914
0.041667	0.865169
0.035714	0.865169
0.035714	0.861423
0.035714	0.857678
0.035714	0.853933
0.029762	0.853933
0.029762	0.850187
0.02381		0.850187
0.02381		0.846442
0.02381		0.842697
0.02381		0.838951
0.02381		0.835206
0.02381		0.831461
0.02381		0.827715
0.02381		0.82397
0.02381		0.820225
0.02381		0.816479
0.02381		0.812734
0.02381		0.808989
0.02381		0.805243
0.02381		0.801498
0.02381		0.797753
0.02381		0.794007
0.02381		0.790262
0.02381		0.786517
0.02381		0.782772
0.02381		0.779026
0.02381		0.775281
0.02381		0.771536
0.02381		0.76779
0.02381		0.764045
0.02381		0.7603
0.02381		0.756554
0.02381		0.752809
0.02381		0.749064
0.02381		0.745318
0.02381		0.741573
0.017857	0.741573
0.017857	0.737828
0.017857	0.734082
0.017857	0.730337
0.011905	0.730337
0.011905	0.726592
0.011905	0.722846
0.011905	0.719101
0.005952	0.719101
0.005952	0.715356
0.005952	0.71161
0.005952	0.707865
0.005952	0.70412
0.005952	0.700375
0.005952	0.696629
0.005952	0.692884
0.005952	0.689139
0.005952	0.685393
0.005952	0.681648
0.005952	0.677903
0.005952	0.674157
0.005952	0.670412
0		0.670412
0		0.666667
0		0.662921
0		0.659176
0		0.655431
0		0.651685
0		0.64794
0		0.644195
0		0.640449
0		0.636704
0		0.632959
0		0.629213
0		0.625468
0		0.621723
0		0.617978
0		0.614232
0		0.610487
0		0.606742
0		0.602996
0		0.599251
0		0.595506
0		0.59176
0		0.588015
0		0.58427
0		0.580524
0		0.576779
0		0.573034
0		0.569288
0		0.565543
0		0.561798
0		0.558052
0		0.554307
0		0.550562
0		0.546816
0		0.543071
0		0.539326
0		0.535581
0		0.531835
0		0.52809
0		0.524345
0		0.520599
0		0.516854
0		0.513109
0		0.509363
0		0.505618
0		0.501873
0		0.498127
0		0.494382
0		0.490637
0		0.486891
0		0.483146
0		0.479401
0		0.475655
0		0.47191
0		0.468165
